,2011-01-31,2011-03-04,2011-04-01,2011-04-29,2011-05-31,2011-06-29,2011-07-27,2011-08-25,2011-09-26,2011-10-25,2011-11-22,2011-12-20,2012-01-18,2012-02-17,2012-03-19,2012-04-17,2012-05-16,2012-06-15,2012-07-13,2012-08-10,2012-09-10,2012-10-10,2012-11-07,2012-12-05,2013-01-08,2013-02-05,2013-03-07,2013-04-04,2013-05-03,2013-06-03,2013-07-02,2013-07-30,2013-08-28,2013-09-30,2013-10-30,2013-11-27,2013-12-26,2014-01-27,2014-02-26,2014-03-26,2014-04-23,2014-05-26,2014-06-25,2014-07-23,2014-08-21,2014-09-23,2014-10-23,2014-11-20,2014-12-18,2015-01-20,2015-02-17,2015-03-20,2015-04-17,2015-05-19,2015-06-17,2015-07-15,2015-08-12,2015-09-10,2015-10-13,2015-11-10,2015-12-08,2016-01-08,2016-02-05,2016-03-10,2016-04-07,2016-05-10,2016-06-08,2016-07-06,2016-08-03,2016-09-01,2016-10-05,2016-11-02,2016-11-30,2016-12-28,2017-01-26,2017-02-27,2017-03-28,2017-04-25,2017-05-29,2017-06-27,2017-07-25,2017-08-23,2017-09-20,2017-10-26,2017-11-23,2017-12-21,2018-01-23,2018-02-22,2018-03-23,2018-04-20,2018-05-23,2018-06-22,2018-07-20,2018-08-20,2018-09-17,2018-10-22,2018-11-19,2018-12-17,2019-01-17,2019-02-19,2019-03-20,2019-04-17,2019-05-17,2019-06-17,2019-07-15,2019-08-12,2019-09-10,2019-10-14,2019-11-11,2019-12-09,2020-01-09,2020-02-10,2020-03-09,2020-04-06,2020-05-08,2020-06-05,2020-07-03,2020-07-31,2020-08-31,2020-09-28,2020-10-30,2020-11-27,2020-12-28,2021-01-27,2021-02-26,2021-03-29,2021-04-26,2021-05-26,2021-06-23,2021-07-21,2021-08-19,2021-09-16,2021-10-21,2021-11-18,2021-12-16,2022-01-14,2022-02-16,2022-03-18,2022-04-15,2022-05-16,2022-06-15,2022-07-13,2022-08-10,2022-09-08,2022-10-12,2022-11-09
10,A096770,A015760,A096770,A000660,A015760,A096770,A032830,A015760,A015760,A015760,A096770,A105560,A105560,A000660,A105560,A105560,A015760,A015760,A000660,A096770,A000660,A000660,A009540,A009540,A009540,A009540,A009540,A009540,A051910,A017670,A017670,A017670,A017670,A015760,A009540,A032830,A051910,A051910,A017670,A017670,A051910,A017670,A017670,A017670,A032830,A032830,A032830,A017670,A018260,A055550,A028260,A055550,A018260,A035420,A018260,A012330,A028260,A055550,A017670,A035420,A051910,A000270,A055550,A000270,A000660,A055550,A055550,A033780,A055550,A055550,A055550,A055550,A090430,A090430,A105560,A051910,A017670,A032830,A105560,A105560,A012330,A105560,A032830,A105560,A012330,A068270,A012330,A032830,A032830,A012330,A015760,A028260,A012330,A105560,A012330,A055550,A034730,A105560,A028260,A035420,A055550,A028260,A035420,A207940,A207940,A051900,A017670,A051900,A005490,A105560,A028260,A051900,A012330,A012330,A035720,A028260,A028260,A028260,A012330,A012330,A012330,A000270,A051900,A012330,A012330,A005490,A005490,A005490,A005490,A005490,A000270,A323410,A323410,A068270,A068270,A105560,A105560,A068270,A005490,A005490,A005490,A068270,A068270,A068270,A035720,A005490
11,A015760,A000660,A000660,A032830,A032830,A015760,A010950,A096770,A017670,A096770,A105560,A096770,A000660,A105560,A096770,A096770,A105560,A105560,A105560,A015760,A015760,A096770,A096770,A096770,A096770,A096770,A096770,A017670,A009540,A009540,A035420,A009540,A009540,A035420,A017670,A051910,A009540,A009540,A051910,A051910,A017670,A051910,A051910,A051910,A051910,A051910,A105560,A000270,A000270,A018260,A018260,A032830,A055550,A055550,A055550,A055550,A000270,A032830,A055550,A051910,A035420,A018260,A000270,A005490,A055550,A051910,A000270,A055550,A017670,A051910,A017670,A017670,A017670,A017670,A051910,A105560,A105560,A017670,A051910,A017670,A051910,A032830,A207940,A055550,A015760,A028260,A028260,A055550,A012330,A015760,A035420,A105560,A055550,A017670,A105560,A035420,A105560,A035420,A012330,A012330,A028260,A017670,A051900,A105560,A035420,A005490,A207940,A017670,A028260,A051900,A055550,A005490,A017670,A017670,A012330,A012330,A036570,A012330,A028260,A028260,A028260,A012330,A000270,A066570,A005490,A012330,A066570,A012330,A012330,A066570,A005490,A005490,A005490,A259960,A005490,A096770,A005490,A323410,A105560,A105560,A105560,A028260,A028260,A028260,A028260,A035720
12,A000660,A096770,A015760,A010950,A000660,A010950,A015760,A017670,A096770,A000660,A000660,A017670,A096770,A015760,A015760,A015760,A096770,A096770,A096770,A105560,A105560,A105560,A105560,A105560,A105560,A105560,A105560,A105560,A035420,A105560,A009540,A096770,A035420,A017670,A015760,A017670,A017670,A017670,A009540,A009540,A009540,A009540,A105560,A105560,A105560,A105560,A090430,A105560,A028260,A028260,A000270,A000270,A032830,A017670,A005490,A005490,A035420,A034730,A035420,A018260,A055550,A055550,A017670,A055550,A000270,A005490,A033780,A005490,A000270,A017670,A000270,A105560,A105560,A105560,A090430,A017670,A051910,A051910,A090430,A051910,A017670,A017670,A012330,A207940,A105560,A055550,A055550,A012330,A055550,A032830,A055550,A012330,A015760,A055550,A055550,A096770,A096770,A012330,A105560,A055550,A015760,A035420,A105560,A035420,A105560,A000270,A105560,A105560,A034730,A017670,A105560,A017670,A005490,A036570,A017670,A034730,A034730,A036570,A017670,A017670,A000270,A028260,A005490,A028260,A096770,A051900,A012330,A028260,A051900,A012330,A302440,A012330,A012330,A005490,A377300,A012330,A068270,A005490,A068270,A055550,A068270,A012330,A005490,A012330,A005490,A028260
13,A066570,A066570,A010950,A003550,A010950,A000660,A000660,A023530,A000660,A017670,A010950,A000660,A010950,A066570,A066570,A035420,A066570,A035420,A035420,A035420,A035420,A035420,A034220,A034220,A066570,A017670,A017670,A096770,A066570,A035420,A105560,A035420,A105560,A105560,A105560,A105560,A105560,A105560,A105560,A105560,A105560,A105560,A009540,A033780,A000810,A090430,A000810,A000810,A105560,A090430,A090430,A090430,A000270,A000270,A051910,A051910,A005490,A005490,A051910,A017670,A017670,A034730,A034730,A017670,A017670,A033780,A051910,A017670,A051910,A000270,A033780,A000270,A034730,A051910,A017670,A090430,A090430,A034730,A017670,A034730,A034730,A034730,A017670,A017670,A055550,A207940,A015760,A015760,A034730,A055550,A032830,A055550,A051900,A015760,A034730,A012330,A012330,A034730,A055550,A034730,A017670,A105560,A028260,A028260,A028260,A006400,A000270,A028260,A051900,A028260,A017670,A055550,A036570,A005490,A005490,A017670,A012330,A017670,A036570,A000270,A005490,A005490,A012330,A096770,A066570,A066570,A028260,A096770,A096770,A051900,A012330,A259960,A259960,A105560,A259960,A068270,A323410,A105560,A323410,A028260,A055550,A005490,A012330,A005490,A012330,A012330
14,A003550,A003550,A066570,A015760,A003550,A023530,A003550,A010950,A010950,A010950,A017670,A066570,A066570,A010950,A010950,A066570,A035420,A033780,A033780,A010950,A010950,A033780,A066570,A017670,A017670,A023530,A035420,A035420,A105560,A096770,A096770,A105560,A096770,A096770,A096770,A096770,A096770,A096770,A096770,A086790,A096770,A000810,A066570,A009540,A033780,A000810,A034730,A090430,A000810,A105560,A105560,A051910,A051910,A051910,A000270,A000270,A033780,A035420,A034730,A034730,A034730,A017670,A018260,A034730,A096770,A017670,A017670,A000270,A033780,A033780,A051910,A051910,A000270,A034730,A034730,A000270,A034730,A090430,A034730,A207940,A207940,A207940,A034730,A068270,A034730,A017670,A017670,A034730,A015760,A034730,A034730,A032830,A032830,A096770,A015760,A034730,A035420,A055550,A034730,A105560,A034730,A034730,A034730,A000270,A000270,A028260,A028260,A000270,A105560,A015760,A034730,A105560,A015760,A035720,A036570,A036570,A017670,A005490,A000270,A036570,A017670,A105560,A066570,A051900,A051900,A028260,A017670,A066570,A066570,A028260,A066570,A028260,A105560,A377300,A105560,A066570,A012330,A028260,A055550,A068270,A028260,A105560,A105560,A105560,A105560,A105560
15,A034220,A017670,A003550,A066570,A023530,A003550,A023530,A000660,A023530,A023530,A035420,A010950,A003550,A003550,A003550,A010950,A033780,A010950,A017670,A017670,A017670,A017670,A035420,A066570,A003550,A066570,A066570,A066570,A096770,A066570,A066570,A066570,A066570,A023530,A023530,A000810,A023530,A086790,A086790,A000810,A033780,A033780,A000810,A000810,A090430,A003550,A033780,A051910,A090430,A000810,A051910,A105560,A105560,A002790,A105560,A002790,A002790,A051910,A005490,A000810,A051900,A051900,A005490,A033780,A051900,A051900,A051900,A051910,A051900,A051900,A034730,A033780,A051910,A000270,A000270,A034730,A096770,A096770,A000270,A090430,A090430,A090430,A068270,A034730,A017670,A034730,A034730,A017670,A096770,A051900,A051900,A017670,A017670,A034730,A051900,A032830,A051900,A051900,A051900,A051900,A105560,A015760,A000270,A032830,A018260,A105560,A015760,A015760,A015760,A034730,A015760,A034730,A105560,A105560,A055550,A005490,A005490,A000270,A005490,A005490,A036570,A017670,A017670,A034730,A028260,A105560,A096770,A051900,A028260,A096770,A028260,A066570,A096770,A012330,A012330,A323410,A055550,A066570,A066570,A096770,A096770,A055550,A055550,A055550,A055550,A055550
16,A017670,A034220,A017670,A010060,A066570,A017670,A011170,A000810,A035420,A035420,A066570,A033780,A017670,A011170,A035420,A017670,A017670,A066570,A010950,A033780,A066570,A010950,A017670,A035420,A035420,A035420,A023530,A023530,A023530,A003550,A000810,A003550,A003550,A000810,A000810,A023530,A086790,A023530,A000810,A096770,A066570,A066570,A033780,A066570,A066570,A033780,A051910,A033780,A051910,A034220,A034220,A000810,A051900,A105560,A002790,A033780,A105560,A033780,A033780,A005490,A005490,A033780,A051900,A000810,A033780,A034730,A034730,A034730,A034730,A105560,A096770,A034730,A033780,A033780,A096770,A096770,A000270,A033780,A096770,A033780,A096770,A096770,A096770,A096770,A096770,A096770,A018260,A018260,A018260,A090430,A090430,A096770,A034730,A032830,A096770,A015760,A032830,A096770,A032830,A032830,A096770,A018260,A015760,A018260,A006400,A015760,A006400,A034730,A000270,A000270,A000270,A000270,A055550,A055550,A015760,A055550,A105560,A034730,A105560,A105560,A105560,A036570,A036570,A005490,A036570,A017670,A051900,A105560,A017670,A017670,A259960,A096770,A028260,A017670,A028260,A028260,A028260,A012330,A028260,A012330,A012330,A034730,A096770,A096770,A034730,A096770
17,A023530,A010950,A023530,A023530,A017670,A011170,A017670,A011170,A000810,A003550,A033780,A003550,A011170,A017670,A017670,A023530,A000810,A053000,A000810,A066570,A033780,A066570,A003550,A033780,A010950,A003550,A003550,A034220,A003550,A023530,A023530,A000810,A000810,A066570,A086790,A086790,A000810,A000810,A023530,A033780,A000810,A086790,A034220,A034220,A034220,A086280,A034220,A034220,A034220,A051910,A000810,A051900,A000810,A000810,A000810,A000810,A051910,A105560,A105560,A033780,A033780,A005490,A000810,A018260,A034730,A000810,A096770,A002790,A105560,A034730,A105560,A096770,A096770,A096770,A033780,A033780,A033780,A000270,A051900,A051900,A033780,A033780,A006400,A051900,A051900,A051900,A051900,A096770,A017670,A018260,A096770,A090430,A096770,A051900,A018260,A051900,A015760,A032830,A096770,A018260,A018260,A096770,A032830,A034730,A015760,A018260,A096770,A096770,A006400,A006400,A006400,A015760,A035720,A015760,A105560,A105560,A055550,A105560,A034730,A066570,A055550,A055550,A105560,A036570,A017670,A055550,A105560,A017670,A105560,A105560,A051900,A017670,A051900,A028260,A066570,A055550,A066570,A055550,A012330,A323410,A323410,A096770,A034730,A034730,A096770,A003670
18,A010950,A023530,A034220,A034220,A034220,A066570,A066570,A003550,A033780,A000810,A000810,A030200,A035420,A035420,A053000,A033780,A010950,A017670,A066570,A003550,A003550,A000810,A033780,A003550,A023530,A033780,A034220,A003550,A033780,A034220,A003550,A023530,A023530,A003550,A066570,A066570,A066570,A066570,A033780,A066570,A086790,A096770,A003550,A006400,A003550,A086790,A003550,A003550,A033780,A034730,A033780,A034220,A002790,A051900,A033780,A105560,A034730,A000810,A051900,A105560,A000810,A000810,A033780,A096770,A000810,A096770,A002790,A096770,A096770,A096770,A051900,A000810,A000810,A051900,A011170,A051900,A051900,A051900,A033780,A000270,A086790,A051900,A090430,A090430,A090430,A090430,A096770,A090430,A051900,A096770,A017670,A034730,A090430,A018260,A032830,A006400,A006400,A018260,A018260,A096770,A032830,A032830,A018260,A015760,A032830,A096770,A018260,A006400,A018260,A018260,A018260,A018260,A000270,A018260,A018260,A000270,A018260,A055550,A251270,A251270,A066570,A096770,A015760,A017670,A034730,A096770,A003550,A003550,A055550,A055550,A105560,A105560,A017670,A096770,A096770,A377300,A096770,A377300,A096770,A034730,A034730,A323410,A066570,A066570,A066570,A034730
19,A004020,A000810,A011170,A017670,A011170,A000810,A053000,A030200,A030200,A066570,A011170,A035420,A023530,A023530,A086790,A003550,A023530,A000810,A003550,A000810,A000810,A003550,A010950,A010950,A033780,A010950,A010950,A033780,A000810,A086790,A033780,A033780,A034220,A086790,A003550,A003550,A003550,A033780,A066570,A023530,A003550,A003550,A086790,A086790,A086790,A034220,A086280,A086280,A003550,A003550,A003550,A034730,A033780,A033780,A034730,A034730,A000810,A002790,A000810,A051900,A105560,A002790,A068270,A051900,A068270,A002790,A000810,A000810,A000810,A000810,A002790,A051900,A051900,A068270,A051900,A011170,A000810,A000810,A003550,A096770,A051900,A086790,A033780,A018260,A033780,A033780,A090430,A051900,A066570,A017670,A018260,A006400,A018260,A090430,A006400,A018260,A018260,A033780,A006400,A006400,A033780,A000270,A096770,A006400,A096770,A034730,A034730,A018260,A032830,A032830,A032830,A035720,A018260,A034730,A034730,A015760,A000270,A326030,A003550,A034730,A018260,A034730,A055550,A003550,A105560,A034730,A034730,A055550,A034730,A034730,A096770,A051900,A055550,A066570,A302440,A034730,A377300,A096770,A034730,A066570,A066570,A066570,A323410,A003670,A032830,A066570
20,A011170,A053000,A004020,A011170,A010060,A053000,A004020,A033780,A003550,A033780,A003550,A000810,A033780,A034220,A023530,A086790,A003550,A003550,A051900,A034220,A034220,A051900,A000810,A000810,A051900,A000810,A000810,A000810,A034220,A033780,A034220,A086790,A033780,A033780,A033780,A033780,A033780,A003550,A053000,A003550,A034220,A034220,A096770,A003550,A086280,A034730,A066570,A034730,A086280,A033780,A034730,A033780,A034730,A003550,A096770,A051900,A051900,A051900,A002790,A002790,A003550,A105560,A096770,A105560,A105560,A018260,A105560,A105560,A018260,A068270,A000810,A068270,A068270,A000810,A000810,A068270,A009540,A009540,A207940,A018260,A000270,A000270,A066570,A066570,A251270,A066570,A066570,A066570,A090430,A066570,A066570,A018260,A006400,A033780,A090430,A010950,A033780,A006400,A000270,A000270,A000810,A006400,A006400,A096770,A034730,A033780,A032830,A032830,A096770,A096770,A035720,A036570,A034730,A000270,A000270,A018260,A326030,A018260,A055550,A018260,A034730,A032830,A034730,A105560,A055550,A036570,A055550,A036570,A036570,A036570,A017670,A302440,A066570,A055550,A055550,A259960,A034730,A034730,A377300,A011200,A015760,A015760,A015760,A032830,A003670,A032830
21,A053000,A004020,A053000,A053000,A053000,A004020,A000810,A035420,A011170,A030200,A023530,A011170,A000810,A033780,A034220,A011170,A053000,A051900,A053000,A053000,A051900,A034220,A051900,A023530,A034220,A053000,A033780,A010950,A030200,A000810,A086790,A034220,A086790,A053000,A053000,A053000,A053000,A053000,A003550,A053000,A023530,A023530,A086280,A090430,A034730,A066570,A002790,A066570,A034730,A066570,A051900,A002790,A034220,A034730,A051900,A096770,A047810,A003550,A003550,A003550,A002790,A096770,A002790,A068270,A018260,A105560,A018260,A068270,A002790,A018260,A018260,A002790,A011170,A011170,A068270,A000810,A011170,A011170,A000810,A068270,A018260,A068270,A086790,A003550,A006400,A003550,A003550,A011170,A003550,A003550,A006400,A033780,A033780,A006400,A010950,A033780,A000810,A000270,A033780,A000810,A006400,A033780,A033780,A033780,A033780,A032830,A033780,A033780,A033780,A033780,A036570,A032830,A003550,A003550,A033780,A003550,A015760,A003550,A066570,A055550,A015760,A326030,A096770,A055550,A003550,A090430,A036570,A034730,A003550,A011200,A055550,A055550,A034730,A051900,A034730,A302440,A051900,A011200,A086790,A015760,A011200,A017670,A034020,A015760,A003550,A003550
22,A000810,A011170,A086790,A004020,A010140,A010140,A035420,A028050,A066570,A086790,A030200,A023530,A034220,A086790,A033780,A053000,A086790,A086790,A023530,A051900,A030200,A023530,A030200,A051900,A000810,A030200,A053000,A053000,A010950,A030200,A030200,A030200,A030200,A010140,A010140,A010140,A034220,A034220,A034220,A034220,A053000,A086280,A023530,A086280,A023530,A009540,A086790,A086790,A051900,A051900,A002790,A003550,A003550,A034220,A003550,A010130,A003550,A010130,A096770,A096770,A096770,A003550,A003550,A003550,A002790,A068270,A068270,A003550,A068270,A002790,A068270,A018260,A009540,A034220,A002790,A009540,A207940,A207940,A066570,A034220,A000810,A003550,A003550,A251270,A018260,A018260,A086790,A086790,A011170,A011170,A033780,A066570,A066570,A010950,A033780,A000810,A003550,A003550,A000810,A033780,A000270,A000810,A000810,A066570,A003550,A003550,A003550,A003550,A035720,A035720,A033780,A003550,A033780,A033780,A003550,A033780,A003550,A015760,A096770,A015760,A032830,A066570,A032830,A018260,A018260,A003550,A032830,A090430,A032830,A015760,A036570,A034730,A302440,A302440,A051900,A051900,A086790,A015760,A015760,A086790,A010950,A003550,A003550,A003550,A010130,A033780
23,A030200,A030200,A010060,A024110,A024110,A034220,A028050,A053000,A139480,A011170,A086790,A086790,A004020,A000810,A011170,A000810,A051900,A010140,A030200,A010140,A053000,A030200,A023530,A030200,A053000,A034220,A086790,A030200,A086790,A010950,A051900,A010140,A010140,A030200,A030200,A086280,A010140,A004020,A086280,A086280,A086280,A090430,A090430,A023530,A006400,A023530,A051900,A051900,A066570,A086790,A066570,A006400,A009540,A009540,A010130,A003550,A035250,A096770,A010130,A008930,A034220,A068270,A105560,A002790,A003550,A003550,A003550,A018260,A034220,A003550,A003550,A009540,A018260,A009540,A034220,A207940,A003550,A003550,A018260,A003550,A068270,A011170,A051900,A033780,A066570,A251270,A033780,A003550,A086790,A033780,A000270,A251270,A000270,A086790,A000270,A086790,A010950,A000810,A003550,A003550,A003550,A090430,A003550,A003550,A000810,A036570,A036570,A010950,A003550,A003550,A096770,A033780,A032830,A090430,A090430,A096770,A096770,A096770,A900140,A096770,A326030,A015760,A003550,A009150,A032830,A032830,A015760,A011200,A015760,A361610,A034730,A361610,A003550,A034730,A036570,A009150,A015760,A086790,A051900,A032830,A086790,A259960,A032830,A010130,A033780,A010130
24,A004170,A086790,A000810,A010140,A004170,A030200,A034220,A004020,A028050,A028050,A034220,A028050,A086790,A053000,A000810,A034220,A010140,A023530,A086790,A023530,A023530,A086280,A010130,A086280,A030200,A051900,A051900,A086790,A051900,A051900,A053000,A051900,A010950,A034220,A034220,A030200,A010950,A086280,A004020,A004020,A030200,A034730,A004020,A096770,A009540,A006400,A023530,A023530,A086790,A002790,A096770,A066570,A096770,A096770,A011170,A011170,A068270,A034220,A035250,A035250,A068270,A066570,A011170,A011170,A011170,A011170,A010950,A010130,A003550,A034220,A009540,A003550,A002790,A002790,A207940,A003550,A066570,A066570,A011170,A066570,A003550,A000810,A010950,A086790,A003550,A086790,A251270,A033780,A006400,A086790,A003550,A086790,A003550,A000270,A086790,A000270,A000270,A010950,A086790,A010950,A066570,A003550,A066570,A000810,A066570,A000810,A035720,A036570,A036570,A036570,A090430,A096770,A090430,A096770,A032830,A066570,A033780,A066570,A015760,A003550,A003550,A018260,A018260,A015760,A015760,A015760,A090430,A032830,A090430,A003550,A011200,A015760,A015760,A036570,A015760,A086790,A259960,A259960,A329180,A017670,A032830,A032830,A259960,A323410,A015760,A086790
25,A010140,A009150,A030200,A086790,A004020,A010060,A030200,A066570,A051900,A034220,A028050,A004020,A030200,A004020,A028050,A028050,A030200,A086280,A010140,A086790,A010140,A010130,A053000,A010140,A086790,A086790,A030200,A051900,A053000,A053000,A010950,A053000,A053000,A010950,A010950,A051900,A051900,A010140,A010140,A030200,A900140,A030200,A034730,A034730,A024110,A030200,A035720,A002790,A009540,A035720,A009540,A009540,A066570,A010130,A034220,A068270,A001040,A023530,A011170,A047810,A010950,A011170,A010950,A066570,A010950,A010950,A035250,A011170,A011170,A009540,A011170,A011170,A207940,A018260,A009540,A002790,A086790,A086790,A086790,A000810,A011170,A010950,A251270,A010950,A086790,A010950,A006400,A000810,A033780,A010950,A086790,A000270,A010950,A000810,A003550,A090430,A066570,A066570,A010950,A086790,A090430,A066570,A090430,A086790,A035720,A035720,A000810,A035720,A066570,A066570,A003550,A066570,A066570,A032830,A096770,A090430,A066570,A033780,A326030,A326030,A096770,A003550,A326030,A032830,A009150,A018260,A018260,A015760,A011200,A032830,A361610,A011200,A032830,A352820,A352820,A015760,A032830,A034020,A011200,A034020,A259960,A011200,A329180,A259960,A086790,A015760
26,A009150,A004170,A024110,A000810,A028050,A024110,A010140,A024110,A034730,A053000,A004020,A034220,A028050,A000720,A000720,A004020,A028050,A009150,A034220,A030200,A086280,A053000,A010140,A010130,A010140,A010140,A010140,A010140,A010140,A010140,A010140,A010950,A006400,A006400,A086280,A034220,A086280,A030200,A030200,A900140,A004020,A004020,A030200,A053000,A030200,A024110,A024110,A006400,A023530,A086280,A086280,A086280,A068270,A066570,A009540,A001040,A010130,A035250,A086280,A066570,A035250,A010130,A066570,A010950,A066570,A066570,A010130,A034220,A010130,A011170,A034220,A034220,A034220,A003550,A086790,A018260,A068270,A018260,A251270,A251270,A006400,A006400,A018260,A000270,A010950,A006400,A011170,A000270,A010950,A006400,A011170,A000810,A086790,A003550,A000810,A003550,A086790,A086790,A066570,A066570,A086790,A086790,A086790,A251270,A036570,A010950,A010950,A066570,A000810,A000810,A000810,A090430,A009150,A066570,A066570,A032830,A090430,A251270,A032830,A900140,A033780,A009150,A009150,A090430,A090430,A009150,A009150,A018260,A018260,A018260,A015760,A003550,A086790,A015760,A011200,A032830,A009150,A051900,A017670,A010950,A003550,A034020,A011200,A033780,A329180,A017670
27,A000720,A024110,A035420,A035420,A030200,A028050,A010060,A086790,A036570,A051900,A086280,A051900,A053000,A028050,A010140,A051900,A011170,A034220,A086280,A011170,A086790,A010140,A086280,A053000,A000720,A011170,A086280,A009150,A009150,A035250,A086280,A006400,A051900,A051900,A051900,A010950,A030200,A010950,A161390,A024110,A051900,A053000,A053000,A004020,A053000,A053000,A053000,A009540,A002790,A010130,A006400,A096770,A006400,A086790,A068270,A034220,A086790,A011170,A023530,A010130,A010130,A010950,A008930,A010130,A034220,A035250,A008930,A066570,A009540,A010130,A010950,A086790,A003550,A207940,A003550,A086790,A010950,A010950,A002790,A086790,A251270,A018260,A011170,A006400,A000270,A000270,A000270,A010950,A000810,A000810,A010950,A003550,A000810,A066570,A066570,A066570,A251270,A090430,A036570,A011170,A010950,A251270,A036570,A036570,A086790,A066570,A066570,A000810,A010950,A086790,A066570,A086790,A096770,A251270,A009150,A009150,A009150,A009150,A018260,A032830,A251270,A033780,A033780,A326030,A003670,A086790,A086790,A086790,A086790,A090430,A003550,A032830,A036570,A003550,A009150,A003550,A011200,A017670,A259960,A259960,A033780,A051900,A003670,A034020,A017670,A323410
28,A035420,A010060,A004170,A004170,A000810,A000720,A024110,A139480,A086790,A139480,A051900,A053000,A000720,A010140,A004020,A010140,A004020,A004020,A009150,A086280,A028050,A086790,A086790,A009150,A011170,A086280,A000720,A000720,A086280,A009150,A035250,A161390,A161390,A086280,A006400,A161390,A011170,A161390,A900140,A051900,A161390,A051900,A161390,A030200,A004020,A004020,A030200,A030200,A006400,A096770,A086790,A086790,A004020,A068270,A006400,A035250,A096770,A047810,A034220,A068270,A066570,A008930,A035250,A009540,A008930,A010130,A011170,A008930,A066570,A086790,A010130,A010950,A086790,A086790,A018260,A034220,A034220,A034220,A010950,A006400,A010950,A066570,A000810,A000810,A000810,A000810,A000810,A251270,A000270,A000270,A000810,A010950,A251270,A011170,A009150,A009150,A036570,A036570,A090430,A090430,A316140,A036570,A035720,A035720,A010950,A086790,A086790,A086790,A090430,A090430,A086790,A000810,A000810,A000810,A000810,A000810,A251270,A090430,A033780,A033780,A009150,A251270,A090430,A251270,A086790,A003670,A003670,A009150,A009150,A009150,A032830,A086790,A352820,A032830,A032830,A036570,A017670,A032830,A032830,A009150,A017670,A033780,A086790,A017670,A010950,A010950
29,A086790,A035420,A010140,A030200,A086790,A035420,A086790,A010130,A090430,A034730,A139480,A000720,A010140,A030200,A051900,A000720,A086280,A030200,A011170,A028050,A010130,A011170,A090430,A086790,A086280,A000720,A011170,A900140,A024110,A086280,A161390,A086280,A086280,A161390,A161390,A006400,A161390,A035250,A024110,A034730,A090430,A024110,A006400,A010130,A096770,A002790,A006400,A024110,A030200,A004020,A035720,A004020,A086790,A004020,A066570,A004020,A034220,A001040,A086790,A086790,A006400,A035250,A010130,A035250,A010130,A034220,A066570,A035250,A030200,A035250,A086790,A010130,A010950,A010950,A010950,A066570,A018260,A068270,A068270,A011170,A034220,A251270,A000270,A011170,A002790,A011170,A010950,A006400,A251270,A002790,A251270,A011170,A011170,A009150,A011170,A251270,A011170,A009540,A011170,A316140,A251270,A010950,A251270,A090430,A090430,A010130,A009540,A009540,A086790,A010950,A009150,A009150,A086790,A010950,A251270,A086790,A032830,A032830,A090430,A009150,A090430,A090430,A086790,A033780,A011170,A033780,A011200,A302440,A352820,A086790,A018260,A009150,A361610,A034020,A086790,A011200,A003550,A009150,A034020,A003550,A329180,A302440,A051900,A329180,A009830,A009150
30,A024110,A000720,A009150,A000720,A000720,A086790,A000720,A000720,A004020,A036570,A053000,A086280,A051900,A010130,A030200,A030200,A009150,A010130,A004020,A009150,A011170,A090430,A011170,A000720,A009150,A010130,A009150,A024110,A001800,A024110,A006400,A000720,A004020,A004020,A004020,A011170,A139480,A051900,A010950,A161390,A034730,A161390,A010130,A024110,A010130,A051900,A004020,A096770,A024110,A030200,A030200,A010130,A086280,A035250,A086280,A086790,A035720,A086790,A009540,A128940,A011170,A128940,A034220,A034220,A035250,A008930,A034220,A010950,A010950,A066570,A030200,A030200,A010130,A010130,A010130,A010950,A002790,A002790,A006400,A002790,A066570,A034220,A034220,A002790,A011170,A002790,A002790,A034220,A002790,A251270,A002790,A009150,A009150,A251270,A251270,A036570,A009540,A011170,A009540,A251270,A036570,A011170,A010950,A316140,A316140,A316140,A316140,A090430,A316140,A009150,A010950,A010950,A251270,A009150,A086790,A010950,A000810,A086790,A009150,A090430,A086790,A086790,A251270,A003670,A033780,A251270,A251270,A251270,A361610,A034020,A086790,A036570,A018260,A086790,A017670,A017670,A302440,A003550,A352820,A033780,A034020,A086790,A017670,A086790,A018260,A034020
